Title,Investigators,Investigator1,Investigator2,Investigator3,Investigator4,Investigator5,Investigator6,Investigator7,Investigator8,Investigator9,ContractPeriod,EndYear,FundingAgency,UW#,DNR#
A Simple Stochastic Model Predicting Conservative Mass Transport Through the Unsaturated Zone Into Groundwater,"John A. Hoopes, John A. Brasino, UW-Mad..",John A. Hoopes, John A. Brasino,,,,,,,,"07/30/1985-
06/01/1986",1986,DNR,WR85R 015,1
Groundwater Monitoring Project for Pesticides,"Jeffrey K. Postle, Kevin Brey, DATCP.",Jeffrey K. Postle, Kevin Brey,,,,,,,,"08/13/1985-
06/30/1990",1990,DNR,WR85R 007,2
"Fate of Aldicarb Residues in a Groundwater Basin Near Plover, Wisconsin","George J. Kraft, WGNHS.",George J. Kraft,,,,,,,,,"12/05/1985-
06/30/1988",1988,DNR,WR85R 010,3
Volatile Organic Compounds in Small Community Wastewater Disposal Systems Using Soil Absorption,"William C. Boyle, William C. Sonzogni, James C. Converse, John A. Hoopes, James O. Peterson, E. Jerry Tyler, Bruce A. Greer:  UW- Mad..",William C. Boyle, William C. Sonzogni, James C. Converse, john A. Hoopes,James O. Peterson,E. Jerry Tyler, Bruce A. Greer,,,"10/25/1985-
06/30/1986",1986,DNR,WR85R 023,5
The Use of Groundwater Models to Predict Groundwater Mounding Beneath Proposed Groundwater Gradient Control Systems for Sanitary Landfill Designs,"John A. Hoopes, Kathleen O. Slane, UW- Mad.",John A. Hoopes, Kathleen O. Slane,,,,,,,,"09/30/1985-
06/30/1986",1986,DNR,WR85R 014,6
Evaluation Techniques for Groundwater Transport Models,"John A. Hoopes, Howard Trussell, UW-Mad.",John A. Hoopes, Howard Trussell,,,,,,,,"09/25/1985-
06/30/1986",1986,DNR,WR85R 013,7
West Bend Area Road Salt Study,"Marianna Sucht, DNR",Marianna Sucht,,,,,,,,,1986-1991,1991,DNR,WR85R 003,8
The Prediction of Nitrate Contamination Potential Using Known Hydrogeologic Properties,"Douglas S. Cherkauer, Cynthia L.W. Cruciani, Univeristy of Wisconsin- Mil.",Douglas S. Cherkauer, Cynthia L.W. Cruciani,,,,,,,,"11/25/1985-
06/30/1987",1987,DNR,WR85R 020,10
"Investigation of Hydrogeology and Groundwater Geochemistry in the Shallow Fractured Dolomite Aquifier in Door County, Wisconsin","Kennth R. Bradbury, Maureen A. Muldoon, WGNHS. Margaret C. Blanchard, UW-Mad..",Kennth R. Bradbury, Maureen A. Muldoon,  Margaret C. Blanchard,,,,,,,"03/06/1986-
06/30/1990",1990,DNR,WR85R 022,12
Groundwater Quality Monitoring - Long Term Effects of Intensive Farming and Sprinkler Irrigation on Groundwater Quality,"Phil Kammerer, United States Geological Survey",Phil Kammerer,,,,,,,,,1986,1986,DNR,WR85R 011,15
"The Effect of Construction, Installation and Development Techniques on the performance of Monitoring Wells in Fine Grained Glacial Tills","Douglas S. Cherkauer, Carl D. Palmer, Duane
G. Paul, UW-Mil.",Douglas S. Cherkauer, Carl D. Palmer, Duane g paul,,,,,,,"10/01/1985-
06/30/1986",1986,DNR,WR85R 019,16
"The Occurrence of Volatile Organic Compounds in Wastewater, Sludges and Groundwater at Selected Wastewater Treatment Plants in Wisconsin","Carolyn Hunger, John Melby, DNR",Carolyn Hunger, John Melby,,,,,,,,1985,1985,DNR,WR85R 012,18
Fate and Mobility of Radium-226 in Municipal Wastewater Sludge Following Agricultural Landspreading,"Thomas L. Portle, Carolyn Hunger, DNR",Thomas L. Portle, Carolyn Hunger,,,,,,,,1985,1985,DNR,WR85R 008,19
Data Management - No report,,,,,,,,,,,,,,,20
"Hydrogeology of the Wisconsin River Valley in Marathon County, Wisconsin","Kenneth R. Bradbury, WGNHS. Eloise Kendy, UW-Mad.",Kenneth R. Bradbury, Eloise Kendy,,,,,,,,"05/01/1986-
06/30/1986",1986,DNR,WR85R 021,22
Treatment of Cheese Processing Wastewater by Ridge and Furrow Disposal - Nitrogen Transformations,"William Boyle, Frederic
J. Doran, UW-Mad.",William Boyle, Frederic J. Doran,,,,,,,,1985,1985,DNR,WR85R 025,23
