Author,EndYear,Search Status,FullSearchStatus,,,315
Carolyn Hunger,1985,complete,complete,,,35
Charles J. Krohn,1985,complete,complete,,,
Dave Hanson,1985,complete,complete,,,
David Sauer,1985,complete,complete,,,262
Ed Kruel,1985,complete,complete,,,0.715846995
Frederic J. Doran,1985,complete,complete,,,
Jack G. Saltes,1985,complete,complete,,,
Jim Anklam,1985,complete,complete,,,
John Melby,1985,complete,complete,,,
John Schwalbe,1985,complete,complete,,,
Thomas L. Portle,1985,complete,complete,,,
Thomas Witthopf,1985,complete,complete - no articles found,,,
William J. Evans,1985,complete,complete,,,
William McKinley,1985,complete,complete,,,
Anthony R. Pawloski,1986,complete,complete - no articles found,,,
Bruce A. Greer,1986,complete,complete,,,
Carl D. Palmer,1986,complete,complete,,,
Chris Norenberg,1986,complete,complete,,,
Dan Detroit,1986,complete,complete - no articles found,,,
David Holman,1986,complete,complete,,,
Duane G. Paul,1986,complete,complete,,,
Jerry E. Tyler,1986,complete,complete,,,
Eloise Kendy,1986,complete,complete,,,
Fred Bailey,1986,complete,complete,,,
Howard Trussell,1986,complete,complete,,,
James C. Converse,1986,complete,,,,
James O. Peterson,1986,complete,,,,
John A. Brasino,1986,complete,,,,
John A. Hoopes,1986,complete,,,,
John Niewoehner,1986,complete,,,,
Jonathon Standridge,1986,complete,,,,
Kathleen O. Slane,1986,complete,WoS,,,
Kenneth R. Bradbury,1986,complete,,,,
Laurie Parsons,1986,complete,complete,,,
Phil Kammerer,1986,complete,,,,
Pratap N. Singh,1986,complete,,,,
William C. Boyle,1986,complete,complete,,,
William C. Sonzogni,1986,complete,,,,
William Lantz,1986,complete,,,,
Bill Dobbins,1987,complete,,,,
Chuck Fitzgerald,1987,complete,,,,
Cynthia L.W. Cruciani,1987,complete,,,,
Daniel Peerenboom,1987,complete,,,,
Douglas S. Cherkauer,1987,complete,,,,
Gregory T. Becker,1987,complete,WoS,,,
Iris Goodman,1987,complete,complete,,,
Kenneth W. Potter,1987,"need WoS, SC",GS,,,
Marci A. Friedman,1987,,complete,,,
Michael R. Noel,1987,,complete - no articles found,,,
Richard Stoll,1987,,complete,,,
Robert K. Ham,1987,,complete - no articles found,,,
Thomas P. Van Biersel,1987,,complete - no articles found,,,
AhMad. S.H. Mahanna,1988,,complete,I think his name might be spelled Ahmed S.H Muhanna,,
Charles R. Bentley,1988,,complete,,,
Gary D. Bubenzer,1988,,complete,,,
Geoffrey C. Bohling,1988,,complete,,,
George J. Kraft,1988,,complete,,,
Gregory Mursky,1988,,complete - no articles found,,,
James (Jim) J. Wiersma,1988,,complete - no articles found,,,
John W. Patoch,1988,,complete,,,
L.T. Lan,1988,,complete,,,
Mary P. Anderson,1988,,,<----------------------,,
Michael M.K. Chang,1988,,complete,,,
Robert W. Taylor,1988,,complete,,,
Ronald D. Stieglitz,1988,,complete,,,
Sarah R. Fisher,1988,,complete,,,
Tuncer B. Edil ,1988,,,<----------------------,,
Andrea Kenter,1989,,complete,,,
Bashar J. Alhajjar,1989,,complete,,,
Boyd Roloff,1989,,complete,,,
Bruce A. Brown,1989,,complete,,,
Byron Shaw,1989,,,<----------------------,,
David J. Mechenich,1989,,complete,,,
David A. Belluck,1989,,complete,,,
Deborah B. DeLuca,1989,,complete,,,
Donald M. Davidson Jr.,1989,,complete - no articles found,,,
Douglas J. Doyle,1989,,complete,,,
Gary LeMasters,1989,,complete,,,
Gerald Nienke,1989,,complete - no articles found,,,
Geronimo V. Simsiman,1989,,complete - no articles found,,,
Gordon Chesters,1989,,complete,,,
James Berndt,1989,,complete - no articles found,,,
Janet R. Battista,1989,,complete,,,
John M. Harkin,1989,,complete,,,
Jonathan Levy,1989,,complete,,,
Kevin Fermanich,1989,,complete,,,
Mark R. Knaak,1989,,complete - no articles found,,,
Lorraine F. Meisner,1989,,complete,,,
Thomas Osborne,1989,,complete,,,
Rick Wiestersen,1989,,complete - no articles found,,,
Riyadh Fathulla,1989,,complete,,,
Robin F. Harris,1989,,complete,,,
Jennifer L. Sorenson,1989,,complete - no articles found,,,
Tommy Daniel,1989,,complete,,,
Paul Berthouex,1990,,complete,,,
Bob Wilson,1990,,complete - no articles found,,,
Bryan D. Bowen,1990,,complete - no articles found,,,
Susan E. Cowell,1990,,complete,,,
Dave Jelinski,1990,,complete - no articles found,,,
Jae Park,1990,,complete,,,
Jeffrey K. Postle,1990,,complete,,,
John R. Tinker,1990,,complete,,,
Kevin Brey,1990,,complete,,,
Linda Schalch,1990,,complete,,,
Margaret C. Blanchard,1990,,complete,,,
Maureen A. Muldoon,1990,,,<----------------------,,
Michael A. Bohn,1990,,complete - no articles found,,,
Michael J. Travis,1990,,complete,,,
Peter McKereghan,1990,,complete,,,
Linda Sandstrom,1990,,complete,,,
Tim Victor,1990,,complete,,,
Peter Ameson,1991,,complete - no articles found,,,
Ayers and Associates,1991,,complete - no articles found,,,I think this might be a company: Ayres Associates
Binning,1991,,complete - no articles found,,,First name might start with an L
Birl Lowery,1991,,,<----------------------,,
Bruce Urben,1991,,complete - no articles found,,,
Curwen,1991,,complete - no articles found,,,David Curwen
