"","AU","TI","SO","DT","DT2","DI","SN","PN","PP","PU","VL","PY","DB","TC","CR","C1","AU_UN","SR_FULL","SR"
"TM ADAMS TMA, 1993, ","TM ADAMS TMA;AYS TANG AYST;N WIEGAND NW","SPATIAL DATA MODELS FOR MANAGING SUBSURFACE DATA","JOURNAL OF COMPUTING IN CIVIL ",NA,"ARTICLE",NA,NA,NA,NA,"ASCELIBRARY.ORG",NA,1993,"ISI",NA,"none",NA,NA,"TM ADAMS TMA, 1993, ","TM ADAMS TMA, 1993, "
"TM ADAMS TMA, 1994, ","TM ADAMS TMA","GISBASED SUBSURFACE DATA MANAGEMENT","COMPUTERAIDED CIVIL AND INFRASTRUCTURE ",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,1994,"ISI",NA,"none",NA,NA,"TM ADAMS TMA, 1994, ","TM ADAMS TMA, 1994, "
"TM ADAMS TMA, 1994, -a","TM ADAMS TMA","INTEGRATED DECISION SUPPORT FOR WELLHEAD PROTECTION",NA,"CITATION","BOOK",NA,NA,NA,NA,"WATER RESOURCES CENTER, UNIVERSITY ",NA,1994,"ISI",NA,"none",NA,NA,"TM ADAMS TMA, 1994, ","TM ADAMS TMA, 1994, -a"
"H BAHIA HB, 2007, ","H BAHIA HB;S KESIRAJU SK;TM ADAMS TMA","DEVELOPMENT OF A REGIONAL PAVEMENT PERFORMANCE DATABASE FOR THE AASHTO MECHANISTIC-EMPIRICAL PAVEMENT DESIGN GUIDE",NA,NA,"BOOK",NA,NA,NA,NA,"MINDS.WISCONSIN.EDU",NA,2007,"ISI",NA,"none",NA,NA,"H BAHIA HB, 2007, ","H BAHIA HB, 2007, "
"PN ALBERTSON PNA, 1998, ","PN ALBERTSON PNA","AGRICULTURAL CHEMICALS, LAND USE, AND THEIR IMPACTS ON STREAM AND GROUND WATER QUALITY IN THE LITTLE PLOVER RIVER WATERSHED",NA,"PDF","BOOK",NA,NA,NA,NA,"EPAPERS.UWSP.EDU",NA,1998,"ISI",NA,"none",NA,NA,"PN ALBERTSON PNA, 1998, ","PN ALBERTSON PNA, 1998, "
"G CHESTERS GC, 1989, ","G CHESTERS GC;GV SIMSIMAN GVS;J LEVY JL;BJ ALHAJJAR BJA;","ENVIRONMENTAL FATE OF ALACHLOR AND METOLACHLOR","REVIEWS OF ",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,1989,"ISI",NA,"none",NA,NA,"G CHESTERS GC, 1989, ","G CHESTERS GC, 1989, "
"BJ ALHAJJAR BJA, 1990, ","BJ ALHAJJAR BJA;GV SIMSIMAN GVS;","FATE AND TRANSPORT OF ALACHLOR, METOLACHLOR AND ATRAZINE IN LARGE COLUMNS","WATER SCIENCE AND ",NA,"ARTICLE",NA,NA,NA,NA,"IWAPONLINE.COM",NA,1990,"ISI",NA,"none",NA,NA,"BJ ALHAJJAR BJA, 1990, ","BJ ALHAJJAR BJA, 1990, "
", 1990, ",";GV SIMSIMAN GVS;RN FATHULLA RNF;BJ ALHAJJAR BJA;","DEGRADATION OF ATRAZINE, ALACHLOR, METOLACHLOR IN SOILS AND AQUIFER MATERIALS",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1990,"ISI",NA,"none",NA,NA,", 1990, ",", 1990, "
"X FU XF, 1995, ","X FU XF;WA ZELTNER WAZ;MA ANDERSON MAA","THE GAS-PHASE PHOTOCATALYTIC MINERALIZATION OF BENZENE ON POROUS TITANIA-BASED CATALYSTS","APPLIED CATALYSIS B: ENVIRONMENTAL",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1995,"ISI",NA,"none",NA,NA,"X FU XF, 1995, ","X FU XF, 1995, "
"X FU XF, 1996, ","X FU XF;LA CLARK LAC;WA ZELTNER WAZ;MA ANDERSON MAA","EFFECTS OF REACTION TEMPERATURE AND WATER VAPOR CONTENT ON THE HETEROGENEOUS PHOTOCATALYTIC OXIDATION OF ETHYLENE","JOURNAL OF PHOTOCHEMISTRY AND ",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1996,"ISI",NA,"none",NA,NA,"X FU XF, 1996, ","X FU XF, 1996, "
"JJ WOUTERS JJW, 2018, ","JJ WOUTERS JJW;MI TEJEDOR TEJEDOR MITT;","PERFORMANCE OF SIO2, ZRO2, TIO2, AL2O3 OR FE2O3 COATINGS ON TI ELECTRODES FOR ARSENIC (V) DETECTION UTILIZING ELECTROCHEMICAL IMPEDANCE SPECTROSCOPY","JOURNAL OF THE ",NA,"ARTICLE",NA,NA,NA,NA,"JES.ECSDL.ORG",NA,2018,"ISI",NA,"none",NA,NA,"JJ WOUTERS JJW, 2018, ","JJ WOUTERS JJW, 2018, "
"JE DUFFY JED, 2000, ","JE DUFFY JED;MA ANDERSON MAA;CG HILL CGH;","PHOTOCATALYTIC OXIDATION AS A SECONDARY TREATMENT METHOD FOLLOWING WET AIR OXIDATION","INDUSTRIAL \& ENGINEERING ",NA,"ARTICLE",NA,NA,NA,NA,"ACS PUBLICATIONS",NA,2000,"ISI",NA,"none",NA,NA,"JE DUFFY JED, 2000, ","JE DUFFY JED, 2000, "
"MA ANDERSON MAA, 2002, ","MA ANDERSON MAA","REMOVAL OF AS (III) AND AS (V) IN CONTAMINATED GROUNDWATER WITH THIN-FILM MICROPOROUS OXIDE ADSORBENTS",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN WATER ",NA,2002,"ISI",NA,"none",NA,NA,"MA ANDERSON MAA, 2002, ","MA ANDERSON MAA, 2002, "
"MA ANDERSON MAA, 2004, ","MA ANDERSON MAA","FIELD AND LABORATORY VALIDATION OF PHOTOACTIVATED ADSORPTION FOR REMOVAL OF ARSENIC IN GROUNDWATERS",NA,"PDF","BOOK",NA,NA,NA,NA,"PDFS.SEMANTICSCHOLAR.ORG",NA,2004,"ISI",NA,"none",NA,NA,"MA ANDERSON MAA, 2004, ","MA ANDERSON MAA, 2004, "
